Step 0: Accuracy(0.0), Loss(0.0240709265321)
Step 100: Accuracy(0.0), Loss(0.0240692421421)
Step 200: Accuracy(0.0), Loss(0.0240667321533)
Step 300: Accuracy(0.0), Loss(0.0240635754354)
Step 400: Accuracy(0.0), Loss(0.0240593570098)
Step 500: Accuracy(0.01), Loss(0.0240556151047)
Step 600: Accuracy(0.01), Loss(0.0240556151047)
Step 700: Accuracy(0.0), Loss(0.0240508109704)
Step 800: Accuracy(0.0), Loss(0.0240447560512)
Step 900: Accuracy(0.01), Loss(0.0240359475277)
Step 1000: Accuracy(0.09), Loss(0.024025206659)
Step 1100: Accuracy(0.08), Loss(0.0240083354712)
Step 1200: Accuracy(0.08), Loss(0.0240083354712)
Step 1300: Accuracy(0.08), Loss(0.0239935670607)
Step 1400: Accuracy(0.07), Loss(0.0239706955478)
Step 1500: Accuracy(0.06), Loss(0.0239371258952)
Step 1600: Accuracy(0.06), Loss(0.0238895218819)
Step 1700: Accuracy(0.05), Loss(0.0238218504377)
Step 1800: Accuracy(0.05), Loss(0.0238218504377)
Step 1900: Accuracy(0.05), Loss(0.0237774132937)
Step 2000: Accuracy(0.06), Loss(0.0237237265147)
Step 2100: Accuracy(0.06), Loss(0.023665721342)
Step 2200: Accuracy(0.07), Loss(0.0236291128397)
Step 2300: Accuracy(0.07), Loss(0.0235725306347)
Step 2400: Accuracy(0.07), Loss(0.0235725306347)
Step 2500: Accuracy(0.07), Loss(0.0235274945758)
Step 2600: Accuracy(0.07), Loss(0.0234812044352)
Step 2700: Accuracy(0.07), Loss(0.0234336096607)
Step 2800: Accuracy(0.08), Loss(0.0233805998974)
