Step 0: Accuracy(0.00839999981535), Loss(0.0240069338245)
Step 100: Accuracy(0.0854500000055), Loss(0.017387077484)
Step 200: Accuracy(0.111066666724), Loss(0.0178231546267)
Step 300: Accuracy(0.236983332733), Loss(0.014625727452)
Step 400: Accuracy(0.292350001062), Loss(0.0131261010064)
Step 500: Accuracy(0.29976666823), Loss(0.013233994022)
Step 600: Accuracy(0.311616668105), Loss(0.0126918645094)
Step 700: Accuracy(0.305183334127), Loss(0.0127969750467)
Step 800: Accuracy(0.323733335088), Loss(0.0121999833391)
Step 900: Accuracy(0.347166667531), Loss(0.0118599785275)
Step 1000: Accuracy(0.3445500011), Loss(0.012169627451)
Step 1100: Accuracy(0.349916667541), Loss(0.0119510003505)
Step 1200: Accuracy(0.3576500009), Loss(0.0114850206223)
Step 1300: Accuracy(0.376216666624), Loss(0.0111887770565)
Step 1400: Accuracy(0.367116667231), Loss(0.0111913219389)
Step 1500: Accuracy(0.366250000745), Loss(0.0111996381031)
Step 1600: Accuracy(0.377966666867), Loss(0.0111267120112)
Step 1700: Accuracy(0.354650001228), Loss(0.0114662271241)
Step 1800: Accuracy(0.363450001106), Loss(0.0112981289811)
Step 1900: Accuracy(0.388083332404), Loss(0.0106879813674)
Step 2000: Accuracy(0.384533333257), Loss(0.0106981816143)
Step 2100: Accuracy(0.375199999685), Loss(0.0105890431115)
Step 2200: Accuracy(0.388066666077), Loss(0.0108820218003)
Step 2300: Accuracy(0.335650001243), Loss(0.0111351220294)
Step 2400: Accuracy(0.396649999221), Loss(0.0103782441281)
Step 2500: Accuracy(0.40568333216), Loss(0.00969510599583)
Step 2600: Accuracy(0.406649998625), Loss(0.0095897701111)
Step 2700: Accuracy(0.271483333459), Loss(0.0130276785636)
Step 2800: Accuracy(0.388066665431), Loss(0.011034598914)
Step 2900: Accuracy(0.393549998999), Loss(0.0107033025784)
Step 3000: Accuracy(0.398266665488), Loss(0.0106001136545)
Step 3100: Accuracy(0.40123333176), Loss(0.0104668953161)
Step 3200: Accuracy(0.391266666353), Loss(0.010646820146)
Step 3300: Accuracy(0.399833332424), Loss(0.010470314192)
Step 3400: Accuracy(0.407149998695), Loss(0.0102721328956)
Step 3500: Accuracy(0.406983331492), Loss(0.0100422811803)
Step 3600: Accuracy(0.406299998984), Loss(0.010144041519)
Step 3700: Accuracy(0.404733332495), Loss(0.0101477734838)
Step 3800: Accuracy(0.401683332374), Loss(0.00998652006965)
Step 3900: Accuracy(0.424199998726), Loss(0.00959617979902)
Step 4000: Accuracy(0.414083331873), Loss(0.00979412994813)
Step 4100: Accuracy(0.412016664743), Loss(0.00954346459281)
Step 4200: Accuracy(0.417699998071), Loss(0.00950738679385)
Step 4300: Accuracy(0.417783331623), Loss(0.00952573971202)
Step 4400: Accuracy(0.423183330745), Loss(0.009486355267)
Step 4500: Accuracy(0.425233331323), Loss(0.00931327264989)
Step 4600: Accuracy(0.41519999812), Loss(0.00942720463965)
Step 4700: Accuracy(0.421766664684), Loss(0.00946025537715)
Step 4800: Accuracy(0.427433331758), Loss(0.00933675557375)
Step 4900: Accuracy(0.411883331637), Loss(0.00947552620744)
Step 5000: Accuracy(0.424449997892), Loss(0.00930192841838)
Step 5100: Accuracy(0.428383331299), Loss(0.0091744966805)
Step 5200: Accuracy(0.428516664455), Loss(0.00920279765036)
Step 5300: Accuracy(0.431999997248), Loss(0.00914864321938)
Step 5400: Accuracy(0.429299997638), Loss(0.00928897126035)
Step 5500: Accuracy(0.438099997193), Loss(0.00905262165004)
Step 5600: Accuracy(0.427566664318), Loss(0.00938190807433)
Step 5700: Accuracy(0.425216664573), Loss(0.00927833072764)
Step 5800: Accuracy(0.420799998616), Loss(0.00938705617562)
Step 5900: Accuracy(0.436416664521), Loss(0.00916748375166)
Step 6000: Accuracy(0.431899997344), Loss(0.00909576802514)
Step 6100: Accuracy(0.423449998076), Loss(0.00925704076498)
Step 6200: Accuracy(0.429066664477), Loss(0.0090860736696)
Step 6300: Accuracy(0.430383331031), Loss(0.00908397402925)
Step 6400: Accuracy(0.42716666465), Loss(0.00927056879116)
Step 6500: Accuracy(0.435649997989), Loss(0.00911818145774)
Step 6600: Accuracy(0.437499997914), Loss(0.00913512196314)
Step 6700: Accuracy(0.435483330737), Loss(0.00906633886043)
Step 6800: Accuracy(0.435016664366), Loss(0.00900896627766)
Step 6900: Accuracy(0.429883330613), Loss(0.00913207309088)
Step 7000: Accuracy(0.433299997896), Loss(0.00911253897628)
Step 7100: Accuracy(0.430566664636), Loss(0.00912388198543)
Step 7200: Accuracy(0.440283330431), Loss(0.0089490130567)
Step 7300: Accuracy(0.442299997608), Loss(0.00890271108908)
Step 7400: Accuracy(0.434349997342), Loss(0.00901648174273)
Step 7500: Accuracy(0.437366665105), Loss(0.00907953024221)
Step 7600: Accuracy(0.439849997411), Loss(0.00892927423663)
Step 7700: Accuracy(0.436299997369), Loss(0.00899049144549)
Step 7800: Accuracy(0.442799998025), Loss(0.00888721668782)
Step 7900: Accuracy(0.434733330905), Loss(0.00895219182984)
Step 8000: Accuracy(0.434133330832), Loss(0.00893549152262)
Step 8100: Accuracy(0.446749996891), Loss(0.00886136782123)
Step 8200: Accuracy(0.434449997346), Loss(0.00909844540215)
Step 8300: Accuracy(0.437699997673), Loss(0.00892533109523)
Step 8400: Accuracy(0.438399997205), Loss(0.00903987735199)
Step 8500: Accuracy(0.444049997081), Loss(0.0089299180281)
Step 8600: Accuracy(0.443966664225), Loss(0.00888716529589)
Step 8700: Accuracy(0.442899997185), Loss(0.00902462273681)
