Step 0: Accuracy(0.000116666664059), Loss(0.0242023055286)
Step 100: Accuracy(0.181400000292), Loss(0.0147483418556)
Step 200: Accuracy(0.294233334636), Loss(0.0125390040285)
Step 300: Accuracy(0.339100001181), Loss(0.0116009705064)
Step 400: Accuracy(0.323083334913), Loss(0.0118335766982)
Step 500: Accuracy(0.388916666011), Loss(0.0105042549999)
Step 600: Accuracy(0.403766665161), Loss(0.0101981741811)
Step 700: Accuracy(0.385066666206), Loss(0.0104515296717)
Step 800: Accuracy(0.362183333039), Loss(0.0109556711931)
Step 900: Accuracy(0.434399997493), Loss(0.00936974032239)
Step 1000: Accuracy(0.437333330214), Loss(0.00932886359515)
Step 1100: Accuracy(0.408666665355), Loss(0.00966172741726)
Step 1200: Accuracy(0.439916664312), Loss(0.00931048536285)
Step 1300: Accuracy(0.43641666472), Loss(0.00906524465342)
Step 1400: Accuracy(0.450199997773), Loss(0.00893550304308)
Step 1500: Accuracy(0.445616664638), Loss(0.00901284954666)
Step 1600: Accuracy(0.444483330796), Loss(0.00921538037558)
Step 1700: Accuracy(0.454699997157), Loss(0.00882571660758)
Step 1800: Accuracy(0.446316664318), Loss(0.00902166930959)
Step 1900: Accuracy(0.4644499967), Loss(0.00873530433824)
Step 2000: Accuracy(0.439016664525), Loss(0.00899337792769)
Step 2100: Accuracy(0.470783330351), Loss(0.00854840096241)
Step 2200: Accuracy(0.448466663212), Loss(0.00888941701579)
Step 2300: Accuracy(0.474033330232), Loss(0.00840982312026)
Step 2400: Accuracy(0.483266663849), Loss(0.00820798791557)
Step 2500: Accuracy(0.481349996974), Loss(0.00829603444009)
Step 2600: Accuracy(0.480699997048), Loss(0.00834960427911)
Step 2700: Accuracy(0.489416663398), Loss(0.00808567245646)
Step 2800: Accuracy(0.481883329352), Loss(0.00822052022908)
Step 2900: Accuracy(0.485533330639), Loss(0.00823365383238)
Step 3000: Accuracy(0.489066663186), Loss(0.0081450042245)
Step 3100: Accuracy(0.490349996338), Loss(0.00810937773592)
Step 3200: Accuracy(0.491783330639), Loss(0.00804763710902)
Step 3300: Accuracy(0.485233330627), Loss(0.00811530841592)
Step 3400: Accuracy(0.497799998174), Loss(0.00800618898822)
