Step 0: Accuracy(8.33333314707e-05), Loss(0.0240930646968)
Step 100: Accuracy(0.060866666548), Loss(0.0184854040202)
Step 200: Accuracy(0.147283333521), Loss(0.0167024137592)
Step 300: Accuracy(0.166850000061), Loss(0.0154789850861)
Step 400: Accuracy(0.202833333388), Loss(0.0144264469358)
Step 500: Accuracy(0.235933333027), Loss(0.0139438938101)
Step 600: Accuracy(0.298500000859), Loss(0.0132073635344)
Step 700: Accuracy(0.294950001289), Loss(0.0127627930464)
Step 800: Accuracy(0.264216667016), Loss(0.0128989773771)
Step 900: Accuracy(0.296983334869), Loss(0.0130468619925)
Step 1000: Accuracy(0.268650000592), Loss(0.0126768097266)
Step 1100: Accuracy(0.333516668454), Loss(0.0123379136218)
Step 1200: Accuracy(0.339666668028), Loss(0.0119965481386)
Step 1300: Accuracy(0.332016667873), Loss(0.012351042487)
Step 1400: Accuracy(0.34170000126), Loss(0.0120242594928)
Step 1500: Accuracy(0.334133335054), Loss(0.0120377074058)
Step 1600: Accuracy(0.352766667306), Loss(0.0117888316326)
Step 1700: Accuracy(0.279533333853), Loss(0.0126306286346)
Step 1800: Accuracy(0.330016668042), Loss(0.01207578626)
Step 1900: Accuracy(0.34490000084), Loss(0.0117750798554)
Step 2000: Accuracy(0.283400000955), Loss(0.0126993762221)
Step 2100: Accuracy(0.348466667458), Loss(0.0119974363813)
Step 2200: Accuracy(0.372033333381), Loss(0.0115637641524)
Step 2300: Accuracy(0.367166666637), Loss(0.0114021203279)
Step 2400: Accuracy(0.377650000105), Loss(0.0112265827833)
Step 2500: Accuracy(0.374183333317), Loss(0.0111651570334)
Step 2600: Accuracy(0.378699999799), Loss(0.0110384353064)
Step 2700: Accuracy(0.382599999756), Loss(0.0109055505677)
Step 2800: Accuracy(0.388766665757), Loss(0.0109137105662)
Step 2900: Accuracy(0.385733332684), Loss(0.0106118420123)
Step 3000: Accuracy(0.3892833328), Loss(0.0103164831867)
Step 3100: Accuracy(0.388833332658), Loss(0.0103174444567)
Step 3200: Accuracy(0.375533332974), Loss(0.0102097688747)
Step 3300: Accuracy(0.400349998772), Loss(0.00988382245569)
Step 3400: Accuracy(0.388749999404), Loss(0.00998709112095)
Step 3500: Accuracy(0.400283332194), Loss(0.0100081196412)
Step 3600: Accuracy(0.400449998677), Loss(0.00987134765368)
Step 3700: Accuracy(0.399049998571), Loss(0.00983300966987)
Step 3800: Accuracy(0.404349997838), Loss(0.00975688926643)
Step 3900: Accuracy(0.403083332106), Loss(0.00971070405096)
Step 4000: Accuracy(0.406433331966), Loss(0.00966499763619)
Step 4100: Accuracy(0.409849999075), Loss(0.00959978709075)
Step 4200: Accuracy(0.404366665507), Loss(0.00973992052954)
Step 4300: Accuracy(0.413649998506), Loss(0.00956972631548)
Step 4400: Accuracy(0.408849998886), Loss(0.00963481939786)
Step 4500: Accuracy(0.411899998337), Loss(0.00950660098111)
Step 4600: Accuracy(0.411166665256), Loss(0.009535044233)
Step 4700: Accuracy(0.410599998484), Loss(0.00952878297617)
Step 4800: Accuracy(0.417849998474), Loss(0.00941055507632)
Step 4900: Accuracy(0.412599999259), Loss(0.00942500588717)
Step 5000: Accuracy(0.419499997894), Loss(0.00938664253025)
Step 5100: Accuracy(0.405366665324), Loss(0.00955887541641)
Step 5200: Accuracy(0.417933331132), Loss(0.00939507554751)
Step 5300: Accuracy(0.412549998711), Loss(0.00944566764714)
Step 5400: Accuracy(0.415783330947), Loss(0.00958562815174)
Step 5500: Accuracy(0.410899999266), Loss(0.00940635516231)
Step 5600: Accuracy(0.411966665188), Loss(0.00933082292788)
Step 5700: Accuracy(0.410349998673), Loss(0.00939994295283)
Step 5800: Accuracy(0.420599998285), Loss(0.00939961708927)
Step 5900: Accuracy(0.42454999879), Loss(0.00921632092291)
Step 6000: Accuracy(0.415866664996), Loss(0.00936340381469)
Step 6100: Accuracy(0.422133331498), Loss(0.00925353070954)
Step 6200: Accuracy(0.409683331798), Loss(0.00939487824372)
Step 6300: Accuracy(0.417083331843), Loss(0.00931729295989)
Step 6400: Accuracy(0.421299998065), Loss(0.00915642474778)
Step 6500: Accuracy(0.416616664926), Loss(0.00934364481441)
Step 6600: Accuracy(0.420216664076), Loss(0.00946365913531)
Step 6700: Accuracy(0.416566665222), Loss(0.00923687752026)
Step 6800: Accuracy(0.420133330872), Loss(0.00922756525377)
Step 6900: Accuracy(0.425166664422), Loss(0.00918361046274)
Step 7000: Accuracy(0.424366664936), Loss(0.00922037746912)
Step 7100: Accuracy(0.424616664797), Loss(0.00913807315286)
Step 7200: Accuracy(0.424633331994), Loss(0.00913969298514)
Step 7300: Accuracy(0.42271666492), Loss(0.00917546634329)
Step 7400: Accuracy(0.431283330917), Loss(0.00907662563957)
Step 7500: Accuracy(0.421716664732), Loss(0.00931108744116)
Step 7600: Accuracy(0.429249997685), Loss(0.00902169299545)
Step 7700: Accuracy(0.426083331505), Loss(0.00910285860999)
Step 7800: Accuracy(0.425683331192), Loss(0.00908167152821)
Step 7900: Accuracy(0.427183331499), Loss(0.00912118512051)
Step 8000: Accuracy(0.430466664135), Loss(0.00901764801315)
Step 8100: Accuracy(0.431266664763), Loss(0.00898075427472)
Step 8200: Accuracy(0.431116664261), Loss(0.00905536476367)
Step 8300: Accuracy(0.432933331231), Loss(0.00894293822891)
Step 8400: Accuracy(0.429166664779), Loss(0.00894846469785)
Step 8500: Accuracy(0.429999997889), Loss(0.00900096757493)
Step 8600: Accuracy(0.429299998035), Loss(0.00903530918605)
Step 8700: Accuracy(0.427866664529), Loss(0.00899901036949)
Step 8800: Accuracy(0.434383331239), Loss(0.00901077465853)
Step 8900: Accuracy(0.428433331499), Loss(0.00902531435713)
Step 9000: Accuracy(0.430533330441), Loss(0.00896560126295)
Step 9100: Accuracy(0.43676666523), Loss(0.00890723477506)
Step 9200: Accuracy(0.426166664163), Loss(0.00897813700838)
Step 9300: Accuracy(0.434549997548), Loss(0.0089139807038)
Step 9400: Accuracy(0.437983330985), Loss(0.00888016165777)
Step 9500: Accuracy(0.429799998204), Loss(0.00892211121197)
Step 9600: Accuracy(0.429333331337), Loss(0.00904531845124)
Step 9700: Accuracy(0.433699997763), Loss(0.00886418568669)
Step 9800: Accuracy(0.43496666496), Loss(0.00888408482696)
Step 9900: Accuracy(0.438583331058), Loss(0.00880688400241)
