Step 0: Accuracy(0.000216666661824), Loss(0.0240760502095)
Step 100: Accuracy(0.0444999996418), Loss(0.0186840012142)
Step 200: Accuracy(0.0992833331972), Loss(0.0170087272643)
Step 300: Accuracy(0.203699999787), Loss(0.0146278939008)
Step 400: Accuracy(0.252400000344), Loss(0.0128235846075)
Step 500: Accuracy(0.331883335089), Loss(0.0116951893022)
Step 600: Accuracy(0.345683334271), Loss(0.0113142749947)
Step 700: Accuracy(0.348816668118), Loss(0.010997502602)
Step 800: Accuracy(0.322366668483), Loss(0.0117450155489)
Step 900: Accuracy(0.390966666043), Loss(0.0101900020024)
Step 1000: Accuracy(0.387799999143), Loss(0.010594230243)
Step 1100: Accuracy(0.39138333261), Loss(0.0101783655398)
Step 1200: Accuracy(0.38659999902), Loss(0.0102982084996)
Step 1300: Accuracy(0.397316665451), Loss(0.0100078163963)
Step 1400: Accuracy(0.396933332682), Loss(0.0101707578093)
Step 1500: Accuracy(0.408883332138), Loss(0.00972277599853)
Step 1600: Accuracy(0.407949998627), Loss(0.00986339713757)
Step 1700: Accuracy(0.425933331301), Loss(0.00950205781575)
Step 1800: Accuracy(0.427866665001), Loss(0.00945353288902)
Step 1900: Accuracy(0.429566664795), Loss(0.00955658564422)
Step 2000: Accuracy(0.415199997822), Loss(0.00949210882963)
Step 2100: Accuracy(0.435999997904), Loss(0.00926518846381)
Step 2200: Accuracy(0.425333331327), Loss(0.00923429929807)
Step 2300: Accuracy(0.448133331537), Loss(0.00888560639384)
Step 2400: Accuracy(0.448983330379), Loss(0.00897588760902)
Step 2500: Accuracy(0.451966664493), Loss(0.00877685556421)
Step 2600: Accuracy(0.451549997081), Loss(0.00885311323994)
Step 2700: Accuracy(0.453199996899), Loss(0.00886268639937)
Step 2800: Accuracy(0.46669999664), Loss(0.00857861652117)
Step 2900: Accuracy(0.463866663526), Loss(0.00870421300487)
Step 3000: Accuracy(0.463716664414), Loss(0.00885235270097)
Step 3100: Accuracy(0.458366663605), Loss(0.00866788800728)
Step 3200: Accuracy(0.460849996607), Loss(0.00864737804824)
Step 3300: Accuracy(0.458349996905), Loss(0.0086653322191)
Step 3400: Accuracy(0.473016664336), Loss(0.00848188984053)
Step 3500: Accuracy(0.471916663945), Loss(0.00846407521361)
Step 3600: Accuracy(0.469466664145), Loss(0.00844387154483)
Step 3700: Accuracy(0.472799996386), Loss(0.00840094027497)
Step 3800: Accuracy(0.47639999782), Loss(0.00832420701239)
Step 3900: Accuracy(0.47034999763), Loss(0.0084547542835)
Step 4000: Accuracy(0.477183330754), Loss(0.00832667009439)
Step 4100: Accuracy(0.481466663231), Loss(0.00837333398949)
Step 4200: Accuracy(0.47861666287), Loss(0.0083293829447)
Step 4300: Accuracy(0.481249996026), Loss(0.0082238081897)
Step 4400: Accuracy(0.482983329594), Loss(0.00822668923376)
Step 4500: Accuracy(0.483883329481), Loss(0.00830861765736)
Step 4600: Accuracy(0.483266663899), Loss(0.00823803206595)
Step 4700: Accuracy(0.476249996026), Loss(0.00827797722149)
Step 4800: Accuracy(0.477116664002), Loss(0.00830246628961)
Step 4900: Accuracy(0.481933330148), Loss(0.00823281341698)
Step 5000: Accuracy(0.488133331041), Loss(0.00830619442665)
Step 5100: Accuracy(0.47138333107), Loss(0.0083923575026)
Step 5200: Accuracy(0.478449997405), Loss(0.00817983268838)
Step 5300: Accuracy(0.485099997222), Loss(0.00817156682567)
Step 5400: Accuracy(0.485116663029), Loss(0.00817215402766)
Step 5500: Accuracy(0.487616663526), Loss(0.00811428893202)
Step 5600: Accuracy(0.485366663237), Loss(0.00836276991914)
Step 5700: Accuracy(0.477699997028), Loss(0.00840098542627)
Step 5800: Accuracy(0.487516663571), Loss(0.00813149572738)
Step 5900: Accuracy(0.492149996608), Loss(0.00803501916428)
Step 6000: Accuracy(0.481216663669), Loss(0.00811637948655)
Step 6100: Accuracy(0.492999996891), Loss(0.00803395469285)
Step 6200: Accuracy(0.493783329974), Loss(0.00799290191072)
Step 6300: Accuracy(0.491049996664), Loss(0.00805008103295)
Step 6400: Accuracy(0.491449996978), Loss(0.00809581255618)
Step 6500: Accuracy(0.495066663375), Loss(0.00798641887881)
Step 6600: Accuracy(0.49888332963), Loss(0.00792066157795)
Step 6700: Accuracy(0.494749996463), Loss(0.0079383366555)
Step 6800: Accuracy(0.501983329505), Loss(0.00785954083937)
Step 6900: Accuracy(0.493266662955), Loss(0.00800676733255)
Step 7000: Accuracy(0.496499997278), Loss(0.00805225424934)
Step 7100: Accuracy(0.495583330194), Loss(0.00801900006675)
Step 7200: Accuracy(0.501783329546), Loss(0.00791417937105)
Step 7300: Accuracy(0.497983330588), Loss(0.00797513750615)
Step 7400: Accuracy(0.499849996865), Loss(0.00791866623874)
Step 7500: Accuracy(0.498016663144), Loss(0.00791708655423)
Step 7600: Accuracy(0.498283330947), Loss(0.00787672073736)
Step 7700: Accuracy(0.502799997131), Loss(0.00784916624116)
Step 7800: Accuracy(0.499199996541), Loss(0.00796087196718)
Step 7900: Accuracy(0.498933329632), Loss(0.00790022195627)
Step 8000: Accuracy(0.496599997828), Loss(0.00805120212724)
Step 8100: Accuracy(0.501433329632), Loss(0.00792432041916)
Step 8200: Accuracy(0.500583330095), Loss(0.00786444235438)
Step 8300: Accuracy(0.499166662693), Loss(0.007837713724)
Step 8400: Accuracy(0.499699996213), Loss(0.00783044836639)
Step 8500: Accuracy(0.502799996535), Loss(0.00787351295042)
Step 8600: Accuracy(0.509316663394), Loss(0.00776353110326)
Step 8700: Accuracy(0.503016663591), Loss(0.00777119841582)
Step 8800: Accuracy(0.50273333028), Loss(0.0078397348981)
Step 8900: Accuracy(0.501916663051), Loss(0.00780688916411)
Step 9000: Accuracy(0.505016663671), Loss(0.0078691866505)
Step 9100: Accuracy(0.504099996984), Loss(0.00779583041323)
