Step 0: Accuracy(0.000659999985248), Loss(0.0240747907441)
Step 100: Accuracy(0.0700399998464), Loss(0.0185479241833)
Step 200: Accuracy(0.141310000196), Loss(0.0161102908412)
Step 300: Accuracy(0.177810000345), Loss(0.0150701418882)
Step 400: Accuracy(0.243289999917), Loss(0.0134325167732)
Step 500: Accuracy(0.259710000619), Loss(0.0127810634645)
Step 600: Accuracy(0.304380001172), Loss(0.012435337455)
Step 700: Accuracy(0.285850001261), Loss(0.0123774995152)
Step 800: Accuracy(0.341530001357), Loss(0.0118676070757)
Step 900: Accuracy(0.359630000636), Loss(0.0112628397448)
Step 1000: Accuracy(0.33981000118), Loss(0.0114899020996)
Step 1100: Accuracy(0.372259999767), Loss(0.0110751493238)
Step 1200: Accuracy(0.357190000981), Loss(0.0111044128714)
Step 1300: Accuracy(0.341450000733), Loss(0.0115208383892)
Step 1400: Accuracy(0.37167000033), Loss(0.0111981236869)
Step 1500: Accuracy(0.4022899988), Loss(0.0104342656117)
Step 1600: Accuracy(0.340980001256), Loss(0.0110850929404)
Step 1700: Accuracy(0.385799999878), Loss(0.0108727825256)
Step 1800: Accuracy(0.394989999026), Loss(0.010334951669)
Step 1900: Accuracy(0.385029999241), Loss(0.0102425828762)
Step 2000: Accuracy(0.402329998687), Loss(0.0103399822656)
Step 2100: Accuracy(0.384579999536), Loss(0.010263891587)
Step 2200: Accuracy(0.391919998959), Loss(0.0104943111613)
Step 2300: Accuracy(0.400679998964), Loss(0.0103327278085)
Step 2400: Accuracy(0.411369999051), Loss(0.00979434353206)
Step 2500: Accuracy(0.410779998928), Loss(0.00987855788646)
Step 2600: Accuracy(0.410649998575), Loss(0.0103229405582)
Step 2700: Accuracy(0.415949998409), Loss(0.0098976536477)
Step 2800: Accuracy(0.360870000407), Loss(0.0110603415314)
Step 2900: Accuracy(0.348630000636), Loss(0.0118246856667)
Step 3000: Accuracy(0.374289999455), Loss(0.0108911107527)
Step 3100: Accuracy(0.39006999962), Loss(0.011297154475)
Step 3200: Accuracy(0.411419998318), Loss(0.0103390469789)
Step 3300: Accuracy(0.406579998821), Loss(0.0105251596756)
Step 3400: Accuracy(0.413109998316), Loss(0.0100145367347)
Step 3500: Accuracy(0.420369998142), Loss(0.00959346180689)
Step 3600: Accuracy(0.387919999585), Loss(0.0101403426453)
Step 3700: Accuracy(0.434339997858), Loss(0.00928283100249)
Step 3800: Accuracy(0.433059997961), Loss(0.00933556404477)
Step 3900: Accuracy(0.388919999361), Loss(0.0100969248209)
Step 4000: Accuracy(0.427259997874), Loss(0.00932048609154)
Step 4100: Accuracy(0.410289998204), Loss(0.00954400628246)
Step 4200: Accuracy(0.398139999181), Loss(0.0119898979058)
Step 4300: Accuracy(0.371369999841), Loss(0.010809041908)
Step 4400: Accuracy(0.389649999067), Loss(0.0104834072553)
Step 4500: Accuracy(0.407529998302), Loss(0.00981988905231)
Step 4600: Accuracy(0.410199998111), Loss(0.0102452723631)
Step 4700: Accuracy(0.4002499993), Loss(0.0100881757648)
Step 4800: Accuracy(0.395049998969), Loss(0.0105074323965)
