Step 0: Accuracy(3.33333325883e-05), Loss(0.0240717038978)
Step 100: Accuracy(0.0664999998702), Loss(0.0195331601519)
Step 200: Accuracy(0.0499333329592), Loss(0.018490945672)
Step 300: Accuracy(0.0670833331998), Loss(0.0171428131141)
Step 400: Accuracy(0.095233333294), Loss(0.0165516456884)
Step 500: Accuracy(0.186216666798), Loss(0.0154968121213)
Step 600: Accuracy(0.202066666453), Loss(0.0150542812251)
Step 700: Accuracy(0.205666667049), Loss(0.0147044645188)
Step 800: Accuracy(0.253799999841), Loss(0.0139940426374)
Step 900: Accuracy(0.275050000946), Loss(0.0133729778292)
Step 1000: Accuracy(0.295700000649), Loss(0.0130441425042)
Step 1100: Accuracy(0.282550001492), Loss(0.0131640288218)
Step 1200: Accuracy(0.306000001306), Loss(0.012459552524)
Step 1300: Accuracy(0.315783335144), Loss(0.0123793985555)
Step 1400: Accuracy(0.314066668153), Loss(0.0121982444311)
Step 1500: Accuracy(0.319183334708), Loss(0.0121809212926)
Step 1600: Accuracy(0.312883334806), Loss(0.0121340648069)
Step 1700: Accuracy(0.323016668037), Loss(0.0122492185514)
Step 1800: Accuracy(0.322216667831), Loss(0.0125282660173)
Step 1900: Accuracy(0.346816667294), Loss(0.0117186890418)
Step 2000: Accuracy(0.343716667444), Loss(0.011881256459)
Step 2100: Accuracy(0.363583333492), Loss(0.0111789774196)
Step 2200: Accuracy(0.367766667108), Loss(0.0108583774092)
Step 2300: Accuracy(0.372333333467), Loss(0.0105925168702)
Step 2400: Accuracy(0.374200000241), Loss(0.0110927148272)
Step 2500: Accuracy(0.381599999815), Loss(0.0108212187576)
Step 2600: Accuracy(0.38416666689), Loss(0.0106346857222)
Step 2700: Accuracy(0.376716667016), Loss(0.0107145806169)
Step 2800: Accuracy(0.381983333131), Loss(0.0102972874123)
Step 2900: Accuracy(0.392216665894), Loss(0.0100632952185)
Step 3000: Accuracy(0.393799998785), Loss(0.00994747095276)
Step 3100: Accuracy(0.391533332095), Loss(0.0106090666245)
Step 3200: Accuracy(0.393216666381), Loss(0.0103663562254)
Step 3300: Accuracy(0.39164999942), Loss(0.0105495444577)
Step 3400: Accuracy(0.39833333234), Loss(0.00992671388667)
Step 3500: Accuracy(0.405266665394), Loss(0.00974186158584)
Step 3600: Accuracy(0.405399999171), Loss(0.00975758190422)
Step 3700: Accuracy(0.402799998249), Loss(0.00970391215912)
Step 3800: Accuracy(0.400083331962), Loss(0.00993746140118)
Step 3900: Accuracy(0.408633331309), Loss(0.00969227198899)
Step 4000: Accuracy(0.408416665147), Loss(0.00966047598592)
Step 4100: Accuracy(0.406049998949), Loss(0.00972011785799)
Step 4200: Accuracy(0.406249998386), Loss(0.00965027631105)
Step 4300: Accuracy(0.407566664964), Loss(0.00960829915479)
Step 4400: Accuracy(0.412899998178), Loss(0.00950099415146)
Step 4500: Accuracy(0.410233332217), Loss(0.0096552085403)
Step 4600: Accuracy(0.4110666656), Loss(0.00958639614284)
Step 4700: Accuracy(0.402949997882), Loss(0.00962528680684)
Step 4800: Accuracy(0.416366664966), Loss(0.00958369264302)
Step 4900: Accuracy(0.408383332193), Loss(0.00956292611469)
Step 5000: Accuracy(0.413483331824), Loss(0.00946918567177)
Step 5100: Accuracy(0.413383331647), Loss(0.0095564616262)
Step 5200: Accuracy(0.421766665131), Loss(0.00939727477264)
Step 5300: Accuracy(0.404333332131), Loss(0.0102755106923)
Step 5400: Accuracy(0.413999997874), Loss(0.0101002317776)
Step 5500: Accuracy(0.410816664845), Loss(0.00993074592203)
Step 5600: Accuracy(0.410733331442), Loss(0.00995732705264)
Step 5700: Accuracy(0.415233331869), Loss(0.00967110902226)
Step 5800: Accuracy(0.42314999794), Loss(0.00932587313854)
Step 5900: Accuracy(0.423433331549), Loss(0.00927271458708)
Step 6000: Accuracy(0.410783332139), Loss(0.00941255009345)
Step 6100: Accuracy(0.414016664624), Loss(0.00948209215266)
Step 6200: Accuracy(0.423549997211), Loss(0.00928085426722)
Step 6300: Accuracy(0.423299998442), Loss(0.00941052681223)
Step 6400: Accuracy(0.420133331815), Loss(0.00941320381826)
Step 6500: Accuracy(0.420099998365), Loss(0.00942936968369)
Step 6600: Accuracy(0.422166665345), Loss(0.00930029166397)
Step 6700: Accuracy(0.430816664646), Loss(0.00921404929288)
Step 6800: Accuracy(0.430966664652), Loss(0.0091679319654)
Step 6900: Accuracy(0.424933331087), Loss(0.00931618691888)
Step 7000: Accuracy(0.428716664463), Loss(0.00922673711165)
Step 7100: Accuracy(0.422766664575), Loss(0.00930951720181)
Step 7200: Accuracy(0.42444999819), Loss(0.00918934428133)
Step 7300: Accuracy(0.425799998343), Loss(0.00921393854621)
Step 7400: Accuracy(0.421983331889), Loss(0.00930190169563)
Step 7500: Accuracy(0.430516664733), Loss(0.00912176338257)
Step 7600: Accuracy(0.432549997717), Loss(0.00911167180554)
Step 7700: Accuracy(0.425916665097), Loss(0.0092198408853)
Step 7800: Accuracy(0.428033331335), Loss(0.00918748533664)
Step 7900: Accuracy(0.426783331633), Loss(0.00918496154559)
Step 8000: Accuracy(0.427816665197), Loss(0.00918088787235)
Step 8100: Accuracy(0.434316664537), Loss(0.00920539531469)
Step 8200: Accuracy(0.428183331142), Loss(0.00910835996581)
Step 8300: Accuracy(0.426699998329), Loss(0.00918662048411)
Step 8400: Accuracy(0.42436666439), Loss(0.00925848106776)
Step 8500: Accuracy(0.433999997626), Loss(0.00906625961652)
Step 8600: Accuracy(0.42911666428), Loss(0.00912955337747)
Step 8700: Accuracy(0.422299998353), Loss(0.00931117036768)
Step 8800: Accuracy(0.431466664424), Loss(0.00906339421403)
Step 8900: Accuracy(0.43614999796), Loss(0.00903121935592)
Step 9000: Accuracy(0.428366664896), Loss(0.00910599005641)
Step 9100: Accuracy(0.435799997548), Loss(0.00905755352539)
Step 9200: Accuracy(0.423283331792), Loss(0.00914187006264)
Step 9300: Accuracy(0.424133331875), Loss(0.00918684664493)
Step 9400: Accuracy(0.435199997872), Loss(0.00909471511686)
Step 9500: Accuracy(0.419116664529), Loss(0.00925246161254)
Step 9600: Accuracy(0.430899997552), Loss(0.00920470416779)
Step 9700: Accuracy(0.435849998544), Loss(0.00901377689404)
Step 9800: Accuracy(0.437749998222), Loss(0.00892657174651)
Step 9900: Accuracy(0.437966664284), Loss(0.0088987439995)
Step 10000: Accuracy(0.431666664581), Loss(0.00906965466061)
Step 10100: Accuracy(0.431666664431), Loss(0.00906965467536)
Step 10200: Accuracy(0.44358333076), Loss(0.00876593607167)
Step 10300: Accuracy(0.44518333137), Loss(0.00883219216873)
Step 10400: Accuracy(0.442399997363), Loss(0.00878897828981)
Step 10500: Accuracy(0.447016664197), Loss(0.00876079444153)
Step 10600: Accuracy(0.446433330675), Loss(0.00869766459024)
Step 10700: Accuracy(0.441383331021), Loss(0.00880812505881)
Step 10800: Accuracy(0.444566664298), Loss(0.00880991783304)
Step 10900: Accuracy(0.450583330542), Loss(0.00869970901016)
Step 11000: Accuracy(0.438633330961), Loss(0.00880038102313)
Step 11100: Accuracy(0.445083331267), Loss(0.00876939028036)
Step 11200: Accuracy(0.446283330272), Loss(0.00872301532654)
Step 11300: Accuracy(0.448016663591), Loss(0.00864861379455)
Step 11400: Accuracy(0.448299996952), Loss(0.00870945319301)
Step 11500: Accuracy(0.449066663583), Loss(0.00867778834887)
Step 11600: Accuracy(0.450883331498), Loss(0.00866735120382)
Step 11700: Accuracy(0.451449997624), Loss(0.00867113367266)
Step 11800: Accuracy(0.453133330892), Loss(0.00864439421644)
Step 11900: Accuracy(0.447666663726), Loss(0.00864847219006)
Step 12000: Accuracy(0.450966663609), Loss(0.00865590795176)
Step 12100: Accuracy(0.450483330786), Loss(0.00868792927514)
Step 12200: Accuracy(0.454616664151), Loss(0.00859276115196)
Step 12300: Accuracy(0.446383330921), Loss(0.00869646277667)
Step 12400: Accuracy(0.45301666374), Loss(0.00863683911351)
Step 12500: Accuracy(0.453716663867), Loss(0.00860405667142)
Step 12600: Accuracy(0.452449997316), Loss(0.00862077753603)
Step 12700: Accuracy(0.449383330792), Loss(0.00864159864296)
Step 12800: Accuracy(0.449949997614), Loss(0.00862563682022)
Step 12900: Accuracy(0.447699997673), Loss(0.00864675094839)
Step 13000: Accuracy(0.455083330472), Loss(0.00860390186387)
Step 13100: Accuracy(0.446366664519), Loss(0.00864024384491)
Step 13200: Accuracy(0.450599997491), Loss(0.00863474447047)
Step 13300: Accuracy(0.451766663988), Loss(0.00866336195186)
Step 13400: Accuracy(0.455999997358), Loss(0.0085968925183)
Step 13500: Accuracy(0.451766664684), Loss(0.00859358470809)
Step 13600: Accuracy(0.454883330961), Loss(0.0085545691289)
Step 13700: Accuracy(0.450649997244), Loss(0.00863493125032)
Step 13800: Accuracy(0.456449997723), Loss(0.0085768108489)
Step 13900: Accuracy(0.454166664332), Loss(0.00860104542924)
Step 14000: Accuracy(0.453966664523), Loss(0.0086001777874)
Step 14100: Accuracy(0.459883330415), Loss(0.00853850949633)
Step 14200: Accuracy(0.452183330605), Loss(0.0085751872533)
Step 14300: Accuracy(0.453633330812), Loss(0.00857012411424)
Step 14400: Accuracy(0.455466664533), Loss(0.00850996453858)
Step 14500: Accuracy(0.453083330691), Loss(0.0085877622144)
Step 14600: Accuracy(0.454899997065), Loss(0.00864381651161)
Step 14700: Accuracy(0.454183331082), Loss(0.00852741115106)
Step 14800: Accuracy(0.453649997214), Loss(0.00858104370069)
Step 14900: Accuracy(0.45508333077), Loss(0.00856799685629)
Step 15000: Accuracy(0.454266664137), Loss(0.00861388844205)
Step 15100: Accuracy(0.460066663822), Loss(0.00849559505936)
Step 15200: Accuracy(0.453599996865), Loss(0.00854968812472)
Step 15300: Accuracy(0.456666663786), Loss(0.00853985688649)
Step 15400: Accuracy(0.451633330733), Loss(0.00860326540734)
Step 15500: Accuracy(0.456449997375), Loss(0.00853966211823)
Step 15600: Accuracy(0.457383331011), Loss(0.00849134574567)
Step 15700: Accuracy(0.45758333077), Loss(0.00847218916286)
Step 15800: Accuracy(0.453183330645), Loss(0.00850412514449)
Step 15900: Accuracy(0.453999997179), Loss(0.00851360092949)
Step 16000: Accuracy(0.454083330284), Loss(0.00868352121674)
Step 16100: Accuracy(0.459383329948), Loss(0.00846587096651)
Step 16200: Accuracy(0.458649997662), Loss(0.00845501940309)
Step 16300: Accuracy(0.458916663975), Loss(0.00847654972924)
Step 16400: Accuracy(0.458016664733), Loss(0.00845929107163)
Step 16500: Accuracy(0.459083331128), Loss(0.00847098802604)
Step 16600: Accuracy(0.459999996473), Loss(0.00851251604967)
Step 16700: Accuracy(0.458099997391), Loss(0.00849616862057)
Step 16800: Accuracy(0.461116663913), Loss(0.00846338226149)
Step 16900: Accuracy(0.464116663138), Loss(0.00851503508786)
Step 17000: Accuracy(0.457516663571), Loss(0.0084720703486)
Step 17100: Accuracy(0.450749997944), Loss(0.00851930174977)
Step 17200: Accuracy(0.459049997429), Loss(0.00849234341721)
Step 17300: Accuracy(0.459216664036), Loss(0.00840895100574)
Step 17400: Accuracy(0.457249997457), Loss(0.00852850022415)
Step 17500: Accuracy(0.458999996781), Loss(0.00849476027225)
Step 17600: Accuracy(0.46019999673), Loss(0.00840845800703)
Step 17700: Accuracy(0.466199997316), Loss(0.00837195123546)
Step 17800: Accuracy(0.459099997332), Loss(0.00842648977569)
Step 17900: Accuracy(0.462833330333), Loss(0.00837784148597)
Step 18000: Accuracy(0.46279999723), Loss(0.00838481033066)
Step 18100: Accuracy(0.463966663629), Loss(0.00837726394103)
Step 18200: Accuracy(0.45703333045), Loss(0.00847103741098)
Step 18300: Accuracy(0.463833330373), Loss(0.00837679904109)
Step 18400: Accuracy(0.460466664135), Loss(0.00852071723668)
Step 18500: Accuracy(0.462166664054), Loss(0.00841583695806)
Step 18600: Accuracy(0.459033331225), Loss(0.00846908172825)
Step 18700: Accuracy(0.462183331301), Loss(0.0084762285611)
Step 18800: Accuracy(0.46308333084), Loss(0.00836127682899)
Step 18900: Accuracy(0.46281666408), Loss(0.00842373632671)
Step 19000: Accuracy(0.45786666428), Loss(0.00843718381754)
Step 19100: Accuracy(0.46131666412), Loss(0.00841114289283)
Step 19200: Accuracy(0.458066664239), Loss(0.00850392098694)
Step 19300: Accuracy(0.464099997928), Loss(0.00837254450579)
Step 19400: Accuracy(0.448349997153), Loss(0.00865801054286)
Step 19500: Accuracy(0.458283331196), Loss(0.00843072665467)
Step 19600: Accuracy(0.458133330494), Loss(0.00854111339354)
Step 19700: Accuracy(0.461216664314), Loss(0.00838379049286)
Step 19800: Accuracy(0.464449996998), Loss(0.00838363926082)
Step 19900: Accuracy(0.464883330613), Loss(0.00845174596024)
Step 20000: Accuracy(0.459416663498), Loss(0.00838996008582)
Step 20100: Accuracy(0.458566663712), Loss(0.00841426628564)
Step 20200: Accuracy(0.45856666401), Loss(0.00841426627167)
Step 20300: Accuracy(0.466616664131), Loss(0.00830140087443)
Step 20400: Accuracy(0.469183330139), Loss(0.00829105874989)
Step 20500: Accuracy(0.47171666344), Loss(0.00827397512194)
Step 20600: Accuracy(0.46644999668), Loss(0.00831377143972)
Step 20700: Accuracy(0.46799999704), Loss(0.00825827133376)
Step 20800: Accuracy(0.466799996694), Loss(0.0083062903001)
Step 20900: Accuracy(0.46791666463), Loss(0.00830996879454)
Step 21000: Accuracy(0.469999997417), Loss(0.00827857027374)
Step 21100: Accuracy(0.469799996962), Loss(0.00828094061775)
Step 21200: Accuracy(0.471466663678), Loss(0.00824845172853)
Step 21300: Accuracy(0.466849996994), Loss(0.00826272007854)
Step 21400: Accuracy(0.47156666403), Loss(0.00827494662798)
Step 21500: Accuracy(0.470216664573), Loss(0.00828575826949)
Step 21600: Accuracy(0.472566663623), Loss(0.00828871772159)
Step 21700: Accuracy(0.472533330073), Loss(0.00827267416442)
Step 21800: Accuracy(0.469299997389), Loss(0.00827818148537)
Step 21900: Accuracy(0.466566663782), Loss(0.00829412464518)
Step 22000: Accuracy(0.467399997115), Loss(0.00828239367111)
Step 22100: Accuracy(0.467399997065), Loss(0.00836585801328)
Step 22200: Accuracy(0.473649997065), Loss(0.00824291725255)
Step 22300: Accuracy(0.470933330705), Loss(0.00825697913378)
Step 22400: Accuracy(0.471533330729), Loss(0.00825821096776)
Step 22500: Accuracy(0.46993332987), Loss(0.00823997712694)
Step 22600: Accuracy(0.468733330518), Loss(0.00826106541092)
Step 22700: Accuracy(0.470316663335), Loss(0.00827789638735)
Step 22800: Accuracy(0.465033329775), Loss(0.00833788276262)
Step 22900: Accuracy(0.467799996883), Loss(0.0082548033904)
Step 23000: Accuracy(0.469649997801), Loss(0.00824375413824)
Step 23100: Accuracy(0.469149996936), Loss(0.00825100003664)
Step 23200: Accuracy(0.468499996463), Loss(0.00826479684018)
Step 23300: Accuracy(0.467099997103), Loss(0.00852010359522)
Step 23400: Accuracy(0.468966663331), Loss(0.00824377741742)
Step 23500: Accuracy(0.465649996996), Loss(0.00831720139366)
Step 23600: Accuracy(0.468299997002), Loss(0.00827506986835)
Step 23700: Accuracy(0.471383331021), Loss(0.00824241112219)
Step 23800: Accuracy(0.47438332955), Loss(0.00824852745359)
Step 23900: Accuracy(0.47161666289), Loss(0.00832166021069)
Step 24000: Accuracy(0.468083329995), Loss(0.00825795368136)
Step 24100: Accuracy(0.473183330446), Loss(0.00825700621664)
Step 24200: Accuracy(0.469133330286), Loss(0.00824543214946)
Step 24300: Accuracy(0.469666664402), Loss(0.00824668363668)
Step 24400: Accuracy(0.474783329964), Loss(0.00821607902879)
Step 24500: Accuracy(0.473249997099), Loss(0.00827363103085)
Step 24600: Accuracy(0.46896666338), Loss(0.00823634550674)
Step 24700: Accuracy(0.470533330341), Loss(0.00827580034655)
Step 24800: Accuracy(0.468649996916), Loss(0.00822714195664)
Step 24900: Accuracy(0.469483329703), Loss(0.00826556232059)
Step 25000: Accuracy(0.47391666318), Loss(0.00826065177176)
Step 25100: Accuracy(0.467516663621), Loss(0.00827495078168)
Step 25200: Accuracy(0.46734999761), Loss(0.00824701557712)
Step 25300: Accuracy(0.473766664316), Loss(0.00822071054174)
Step 25400: Accuracy(0.468966663827), Loss(0.00827136799072)
Step 25500: Accuracy(0.468583329866), Loss(0.00826747624824)
Step 25600: Accuracy(0.467599996279), Loss(0.00827131905127)
Step 25700: Accuracy(0.474883330464), Loss(0.00823354530459)
Step 25800: Accuracy(0.472933330635), Loss(0.00824304737383)
Step 25900: Accuracy(0.46881666412), Loss(0.00829954774352)
Step 26000: Accuracy(0.465766663353), Loss(0.0082624993419)
Step 26100: Accuracy(0.46954999735), Loss(0.00829759574961)
Step 26200: Accuracy(0.475266663929), Loss(0.00824876499906)
Step 26300: Accuracy(0.473733330866), Loss(0.00822308751289)
Step 26400: Accuracy(0.475283331325), Loss(0.00817582171721)
Step 26500: Accuracy(0.471849997789), Loss(0.00825836267089)
Step 26600: Accuracy(0.472616663128), Loss(0.00820555659709)
Step 26700: Accuracy(0.470249996632), Loss(0.00829354346963)
Step 26800: Accuracy(0.470266663333), Loss(0.00821873888761)
Step 26900: Accuracy(0.472133330504), Loss(0.00822362441026)
Step 27000: Accuracy(0.474166663885), Loss(0.00817640617257)
Step 27100: Accuracy(0.473299996306), Loss(0.00818598200024)
Step 27200: Accuracy(0.472816663086), Loss(0.00822880429293)
Step 27300: Accuracy(0.472866663933), Loss(0.00820719269492)
Step 27400: Accuracy(0.470649997244), Loss(0.00821987351791)
Step 27500: Accuracy(0.470833330105), Loss(0.00822115599566)
Step 27600: Accuracy(0.471016663363), Loss(0.00824864562911)
Step 27700: Accuracy(0.471949997097), Loss(0.00824522725695)
Step 27800: Accuracy(0.471433330377), Loss(0.00822057060044)
Step 27900: Accuracy(0.475316662937), Loss(0.00822653069471)
Step 28000: Accuracy(0.469349996944), Loss(0.00827155106391)
Step 28100: Accuracy(0.473049997489), Loss(0.00822047439171)
Step 28200: Accuracy(0.472466663172), Loss(0.00819358517183)
Step 28300: Accuracy(0.472966664086), Loss(0.00822888900526)
Step 28400: Accuracy(0.470616663049), Loss(0.00823928557724)
Step 28500: Accuracy(0.46889999638), Loss(0.00824768758845)
Step 28600: Accuracy(0.474033330033), Loss(0.00818860806602)
Step 28700: Accuracy(0.474416663597), Loss(0.00817832127602)
Step 28800: Accuracy(0.471783330639), Loss(0.0082060168148)
Step 28900: Accuracy(0.474299996247), Loss(0.00820617671357)
Step 29000: Accuracy(0.467699997375), Loss(0.00824168932081)
Step 29100: Accuracy(0.470216662933), Loss(0.00819857633285)
Step 29200: Accuracy(0.474133330335), Loss(0.00822655697741)
Step 29300: Accuracy(0.469249996245), Loss(0.00819510516943)
Step 29400: Accuracy(0.474299996992), Loss(0.00820816614044)
Step 29500: Accuracy(0.473416663557), Loss(0.00824516248812)
Step 29600: Accuracy(0.474066663484), Loss(0.00819001001151)
Step 29700: Accuracy(0.471149997711), Loss(0.0082100361997)
Step 29800: Accuracy(0.477133330454), Loss(0.00822569469223)
Step 29900: Accuracy(0.468383330057), Loss(0.00819927952485)
Step 30000: Accuracy(0.47389999643), Loss(0.0082042133552)
Step 30100: Accuracy(0.472583330224), Loss(0.0082662969005)
Step 30200: Accuracy(0.471749997586), Loss(0.00817558359743)
Step 30300: Accuracy(0.471749997338), Loss(0.00817558361295)
Step 30400: Accuracy(0.470516663442), Loss(0.00815925289644)
Step 30500: Accuracy(0.47429999734), Loss(0.00814740591527)
Step 30600: Accuracy(0.473466663361), Loss(0.00816579155081)
Step 30700: Accuracy(0.47619999662), Loss(0.00815539207853)
Step 30800: Accuracy(0.475716663649), Loss(0.00816809359007)
Step 30900: Accuracy(0.476049997707), Loss(0.00817995014368)
Step 31000: Accuracy(0.472699996829), Loss(0.00818736709189)
Step 31100: Accuracy(0.475483330588), Loss(0.00815178177552)
Step 31200: Accuracy(0.477233329664), Loss(0.00815330837232)
Step 31300: Accuracy(0.47183333079), Loss(0.00815952835139)
Step 31400: Accuracy(0.475883330603), Loss(0.00816902188972)
Step 31500: Accuracy(0.475983330111), Loss(0.00814666975522)
Step 31600: Accuracy(0.476766663641), Loss(0.00812698000344)
Step 31700: Accuracy(0.473383330107), Loss(0.00816590949039)
Step 31800: Accuracy(0.478249997646), Loss(0.00814239516699)
Step 31900: Accuracy(0.474699997157), Loss(0.00813972858324)
Step 32000: Accuracy(0.47366666461), Loss(0.00816220508267)
Step 32100: Accuracy(0.473849997024), Loss(0.00816117256104)
Step 32200: Accuracy(0.471583330085), Loss(0.00815928084853)
Step 32300: Accuracy(0.469733330359), Loss(0.008192909072)
Step 32400: Accuracy(0.476116663168), Loss(0.00813310835743)
Step 32500: Accuracy(0.477083330949), Loss(0.00814436013267)
Step 32600: Accuracy(0.476933331241), Loss(0.00815137907009)
Step 32700: Accuracy(0.473599995424), Loss(0.00819673697852)
Step 32800: Accuracy(0.473749997417), Loss(0.00819909053622)
Step 32900: Accuracy(0.47766666308), Loss(0.00814194411971)
Step 33000: Accuracy(0.474749996165), Loss(0.00812385560091)
Step 33100: Accuracy(0.475399997632), Loss(0.00814930669808)
Step 33200: Accuracy(0.476233330766), Loss(0.00813757763011)
Step 33300: Accuracy(0.475999997755), Loss(0.00814069105778)
Step 33400: Accuracy(0.473899996976), Loss(0.0081454959178)
Step 33500: Accuracy(0.474283330888), Loss(0.00817402005584)
Step 33600: Accuracy(0.475199996879), Loss(0.00814505166141)
Step 33700: Accuracy(0.475349996934), Loss(0.00814108368863)
Step 33800: Accuracy(0.47768332988), Loss(0.00815114272448)
Step 33900: Accuracy(0.476599997183), Loss(0.00817264378925)
Step 34000: Accuracy(0.476433330576), Loss(0.00818481468363)
Step 34100: Accuracy(0.474333330542), Loss(0.00817162748737)
Step 34200: Accuracy(0.473533330113), Loss(0.0081638134496)
Step 34300: Accuracy(0.475383329143), Loss(0.00814803179509)
Step 34400: Accuracy(0.474933331162), Loss(0.00816236723602)
Step 34500: Accuracy(0.475966663311), Loss(0.0081207481438)
Step 34600: Accuracy(0.476266663621), Loss(0.00814419063041)
Step 34700: Accuracy(0.476216663222), Loss(0.00817296174432)
Step 34800: Accuracy(0.47399999703), Loss(0.00815038099575)
Step 34900: Accuracy(0.476333330423), Loss(0.0081940642884)
Step 35000: Accuracy(0.476316662828), Loss(0.00813942850335)
Step 35100: Accuracy(0.478866663724), Loss(0.00814045416036)
Step 35200: Accuracy(0.476216663172), Loss(0.00813735226324)
Step 35300: Accuracy(0.478733330369), Loss(0.00814281039949)
Step 35400: Accuracy(0.476316663871), Loss(0.00811965321967)
Step 35500: Accuracy(0.477899997433), Loss(0.00813495797959)
Step 35600: Accuracy(0.472633330375), Loss(0.00815400241408)
Step 35700: Accuracy(0.473699997117), Loss(0.00812840642796)
Step 35800: Accuracy(0.477999997437), Loss(0.00820223933086)
Step 35900: Accuracy(0.475533329646), Loss(0.00814939415548)
Step 36000: Accuracy(0.475483329594), Loss(0.0081727578165)
Step 36100: Accuracy(0.475349997928), Loss(0.00816283850853)
Step 36200: Accuracy(0.477583329529), Loss(0.00813926537987)
Step 36300: Accuracy(0.475799996903), Loss(0.00817216096912)
Step 36400: Accuracy(0.47428333059), Loss(0.00828454160675)
Step 36500: Accuracy(0.477749996086), Loss(0.00812486217512)
Step 36600: Accuracy(0.473849996825), Loss(0.00813748513969)
Step 36700: Accuracy(0.478399997006), Loss(0.00812539623041)
Step 36800: Accuracy(0.478933330129), Loss(0.00813936147606)
Step 36900: Accuracy(0.478183330844), Loss(0.0081322067976)
Step 37000: Accuracy(0.477283330262), Loss(0.00813941492932)
Step 37100: Accuracy(0.473333330005), Loss(0.00816641625327)
Step 37200: Accuracy(0.476583330284), Loss(0.00814557249192)
Step 37300: Accuracy(0.47746666352), Loss(0.00812058489459)
Step 37400: Accuracy(0.47673333029), Loss(0.00816296278654)
Step 37500: Accuracy(0.473316663057), Loss(0.00814055704512)
Step 37600: Accuracy(0.473883330623), Loss(0.00817124943404)
Step 37700: Accuracy(0.473633330713), Loss(0.00813094603984)
Step 37800: Accuracy(0.477183330903), Loss(0.00813122362364)
Step 37900: Accuracy(0.473983330379), Loss(0.00814699471074)
Step 38000: Accuracy(0.475016663919), Loss(0.00816440418828)
Step 38100: Accuracy(0.475583330443), Loss(0.00816650644954)
Step 38200: Accuracy(0.477949997038), Loss(0.00815106438085)
Step 38300: Accuracy(0.477966663589), Loss(0.00812525911878)
