Step 0: Accuracy(0.0), Loss(0.0240716172382)
Step 100: Accuracy(0.03), Loss(0.0231840839796)
Step 200: Accuracy(0.0), Loss(0.0231404729001)
Step 300: Accuracy(0.05), Loss(0.0223802438565)
Step 400: Accuracy(0.06), Loss(0.0229748490825)
Step 500: Accuracy(0.06), Loss(0.0216774721257)
Step 600: Accuracy(0.06), Loss(0.021453020256)
Step 700: Accuracy(0.06), Loss(0.0209366198629)
Step 800: Accuracy(0.05), Loss(0.0216993315332)
Step 900: Accuracy(0.06), Loss(0.0216369736195)
Step 1000: Accuracy(0.06), Loss(0.0208888752013)
Step 1100: Accuracy(0.01), Loss(0.0203747486696)
Step 1200: Accuracy(0.06), Loss(0.0199730634037)
Step 1300: Accuracy(0.06), Loss(0.0209201250691)
Step 1400: Accuracy(0.05), Loss(0.0195576007012)
