===============================================================
arg: 218853 60000 60000 100 0.003
Step 0: Accuracy(0.432549998164), Loss(0.00971716329688)
Step 100: Accuracy(0.420849997848), Loss(0.00969699527525)
Step 200: Accuracy(0.441066664507), Loss(0.0093308416723)
Step 300: Accuracy(0.450249997427), Loss(0.00909481448975)
Step 400: Accuracy(0.445133330772), Loss(0.00931284851938)
Step 500: Accuracy(0.441433331172), Loss(0.00928930356245)
Step 600: Accuracy(0.443316663702), Loss(0.00937968774776)
Step 700: Accuracy(0.445983331203), Loss(0.00919501121466)
Step 800: Accuracy(0.435899997205), Loss(0.00961710205379)
Step 900: Accuracy(0.453849997322), Loss(0.00890455949508)
Step 1000: Accuracy(0.453199997495), Loss(0.00934419537662)
Step 1100: Accuracy(0.430666664292), Loss(0.00928090818071)
Step 1200: Accuracy(0.449916664362), Loss(0.00895537446253)
Step 1300: Accuracy(0.463116663744), Loss(0.00873809190545)
Step 1400: Accuracy(0.456816664189), Loss(0.00880594252065)
Step 1500: Accuracy(0.454583331148), Loss(0.00879582889611)
Step 1600: Accuracy(0.455616664191), Loss(0.00905474103599)
Step 1700: Accuracy(0.45861666431), Loss(0.00870705821163)
Step 1800: Accuracy(0.46444999675), Loss(0.00872300084292)
Step 1900: Accuracy(0.462833330731), Loss(0.00866074251166)
Step 2000: Accuracy(0.459066663782), Loss(0.00872048879896)
Step 2100: Accuracy(0.450566663096), Loss(0.00868774297104)
Step 2200: Accuracy(0.456033331205), Loss(0.00879259793631)
Step 2300: Accuracy(0.475399997284), Loss(0.0084225710396)
Step 2400: Accuracy(0.478283330103), Loss(0.00837153778256)
Step 2500: Accuracy(0.47236666431), Loss(0.00851481429224)
Step 2600: Accuracy(0.483466664404), Loss(0.0082631081529)
Step 2700: Accuracy(0.480199996978), Loss(0.00838490309039)
Step 2800: Accuracy(0.477466663867), Loss(0.00837245071229)
Step 2900: Accuracy(0.481816664239), Loss(0.00826885121642)
Step 3000: Accuracy(0.482166663309), Loss(0.00828381720698)
Step 3100: Accuracy(0.475216663529), Loss(0.00837703889702)
Step 3200: Accuracy(0.488449997306), Loss(0.00823514106295)
Step 3300: Accuracy(0.487033330003), Loss(0.0082460024006)
Step 3400: Accuracy(0.476216663619), Loss(0.00812669243508)
